techs,colors
demand_waterC,#BD07FB
demand_waterA,#BD07FB
PV,#F3F311
ElectricTransmission220kV,#8465A9
ElectricTransmission132kV,#8465A9
ConversionPlusC,#3c7632
HFO,#AF2D2D
Wind,#FF2020
supply_waterD,#07FBF5
hydroC,#118EC2
Nuclear,#84008A
spillageB,#FFAE02
storageA,#FF02EF
supply_waterB,#0287FF
hydroB,#1D3EFF
spillageA,#7e7a36
ElectricTransmission275kV,#8465A9
hydroD,#003C72
supply_waterA,#0287FF
supply_waterC,#0287FF
supply_water0,#0287FF
WaterCTransmission,#000572
Biomass,#20FF30
spillageC,#FFAE02
ElectricTransmission533kV,#8465A9
OCGT,#E84C4C
storageC,#FF02EF
ConversionPlus0,#19122b
ConversionPlusB,#185b48
DieselEngine,#E33B78
WaterDTransmission,#000572
ElectricTransmission330kV,#8465A9
hydro,#02FFD3
hydroA,#1DFF97
ConversionPlusA,#17344c
storageD,#3B61E3
demand_waterB,#BD07FB
hydro0,#1DFF97
demand_power,#072486
GasEngine,#E9A603
Coal,#CCCCCC
ElectricTransmission400kV,#8465A9
spillageD,#FFAE02
Coal_old,#5E5E5E
storageB,#FF02EF
