techs,inheritance
demand_waterC,demand
demand_waterA,demand
PV,supply_plus
ElectricTransmission220kV,transmission
ElectricTransmission132kV,transmission
ConversionPlusC,conversion_plus
HFO,supply
Wind,supply_plus
supply_waterD,supply
hydroC,conversion
Nuclear,supply
spillageB,conversion
storageA,storage
supply_waterB,supply
hydroB,conversion
spillageA,conversion
ElectricTransmission275kV,transmission
hydroD,conversion
supply_waterA,supply
supply_waterC,supply
supply_water0,supply
WaterCTransmission,transmission
Biomass,supply
spillageC,conversion
ElectricTransmission533kV,transmission
OCGT,supply
storageC,storage
ConversionPlus0,conversion_plus
ConversionPlusB,conversion_plus
DieselEngine,supply
WaterDTransmission,transmission
ElectricTransmission330kV,transmission
hydro,supply
hydroA,conversion
ConversionPlusA,conversion_plus
storageD,storage
demand_waterB,demand
hydro0,conversion
demand_power,demand
GasEngine,supply
Coal,supply
ElectricTransmission400kV,transmission
spillageD,conversion
Coal_old,supply
storageB,storage
