carriers,costs,total_levelised_cost
water_to_hpA,monetary,1.9279929489360008
waterC,monetary,0.4900290739276329
water_to_hpC,monetary,0.4900322029802079
waterE,monetary,inf
waterA,monetary,1.7516789544544185
waterB,monetary,1.4484946302830406
power,monetary,0.058228174117996016
water_to_hpB,monetary,2.04429039506596
waterD,monetary,0.2923735659269768
