techs,inheritance
hydro,supply
storageB,storage
hydroD,conversion
storageA,storage
storageD,storage
supply_waterB,supply
ConversionPlusC,conversion_plus
OCGT,supply
Coal_old,supply
demand_power,demand
demand_waterC,demand
HFO,supply
spillageD,conversion
hydroC,conversion
ConversionPlus0,conversion_plus
ElectricTransmission132kV,transmission
supply_waterA,supply
WaterCTransmission,transmission
ElectricTransmission220kV,transmission
spillageC,conversion
supply_waterC,supply
Coal,supply
demand_waterB,demand
Wind,supply_plus
supply_waterD,supply
ElectricTransmission330kV,transmission
hydroA,conversion
ConversionPlusA,conversion_plus
DieselEngine,supply
ElectricTransmission400kV,transmission
WaterDTransmission,transmission
hydro0,conversion
ElectricTransmission533kV,transmission
Biomass,supply
ConversionPlusB,conversion_plus
GasEngine,supply
supply_water0,supply
spillageB,conversion
hydroB,conversion
storageC,storage
demand_waterA,demand
PV,supply_plus
Nuclear,supply
spillageA,conversion
ElectricTransmission275kV,transmission
