carriers,costs,total_levelised_cost
water_to_hpA,monetary,1.939101808627093
waterC,monetary,0.490030704412822
water_to_hpC,monetary,0.4900307044127966
waterE,monetary,inf
waterA,monetary,1.7516847828567383
waterB,monetary,1.4549020438964035
power,monetary,0.05822854709275437
water_to_hpB,monetary,2.0438127938629793
waterD,monetary,0.29411974436069627
