techs,colors
ElectricTransmission132kV,#8465A9
Coal_old,#5E5E5E
supply_waterC,#0287FF
DieselEngine,#E33B78
OCGT,#E84C4C
storageB,#FF02EF
demand_waterC,#BD07FB
ElectricTransmission220kV,#8465A9
WaterCTransmission,#000572
Coal,#CCCCCC
GasEngine,#E9A603
PV,#F3F311
spillageC,#FFAE02
WaterDTransmission,#000572
hydroA,#1DFF97
hydro0,#1DFF97
hydroC,#118EC2
demand_power,#072486
HFO,#AF2D2D
spillageB,#FFAE02
hydro,#02FFD3
ElectricTransmission533kV,#8465A9
ConversionPlusA,#17344c
ConversionPlus0,#19122b
ElectricTransmission330kV,#8465A9
supply_waterB,#0287FF
supply_waterA,#0287FF
storageA,#FF02EF
supply_waterD,#07FBF5
demand_waterA,#BD07FB
Nuclear,#84008A
supply_water0,#0287FF
spillageA,#7e7a36
ElectricTransmission400kV,#8465A9
Biomass,#20FF30
hydroD,#003C72
ConversionPlusC,#3c7632
spillageD,#FFAE02
storageC,#FF02EF
storageD,#3B61E3
demand_waterB,#BD07FB
Wind,#FF2020
ConversionPlusB,#185b48
ElectricTransmission275kV,#8465A9
hydroB,#1D3EFF
