techs,inheritance
ElectricTransmission132kV,transmission
Coal_old,supply
supply_waterC,supply
DieselEngine,supply
OCGT,supply
storageB,storage
demand_waterC,demand
ElectricTransmission220kV,transmission
WaterCTransmission,transmission
Coal,supply
GasEngine,supply
PV,supply_plus
spillageC,conversion
WaterDTransmission,transmission
hydroA,conversion
hydro0,conversion
hydroC,conversion
demand_power,demand
HFO,supply
spillageB,conversion
hydro,supply
ElectricTransmission533kV,transmission
ConversionPlusA,conversion_plus
ConversionPlus0,conversion_plus
ElectricTransmission330kV,transmission
supply_waterB,supply
supply_waterA,supply
storageA,storage
supply_waterD,supply
demand_waterA,demand
Nuclear,supply
supply_water0,supply
spillageA,conversion
ElectricTransmission400kV,transmission
Biomass,supply
hydroD,conversion
ConversionPlusC,conversion_plus
spillageD,conversion
storageC,storage
storageD,storage
demand_waterB,demand
Wind,supply_plus
ConversionPlusB,conversion_plus
ElectricTransmission275kV,transmission
hydroB,conversion
