techs,colors
supply_waterA,#0287FF
hydroB,#1D3EFF
Coal_old,#5E5E5E
Wind,#FF2020
ElectricTransmission220kV,#8465A9
hydroC,#118EC2
supply_waterC,#0287FF
demand_waterB,#BD07FB
spillageC,#FFAE02
hydro,#02FFD3
storageB,#FF02EF
ElectricTransmission275kV,#8465A9
ElectricTransmission330kV,#8465A9
WaterCTransmission,#000572
Nuclear,#84008A
ConversionPlusB,#185b48
hydroD,#003C72
ConversionPlus0,#19122b
ElectricTransmission400kV,#8465A9
Biomass,#20FF30
demand_waterA,#BD07FB
hydroA,#1DFF97
storageC,#FF02EF
WaterDTransmission,#000572
storageA,#FF02EF
supply_waterD,#07FBF5
OCGT,#E84C4C
storageD,#3B61E3
supply_water0,#0287FF
Coal,#CCCCCC
HFO,#AF2D2D
spillageA,#7e7a36
hydro0,#1DFF97
spillageB,#FFAE02
demand_waterC,#BD07FB
ElectricTransmission533kV,#8465A9
demand_power,#072486
PV,#F3F311
ConversionPlusA,#17344c
DieselEngine,#E33B78
spillageD,#FFAE02
supply_waterB,#0287FF
ElectricTransmission132kV,#8465A9
ConversionPlusC,#3c7632
GasEngine,#E9A603
