techs,names
ConversionPlusB,from waterB to hpB
ConversionPlusA,from waterA to hpA
storageA,ITT
storageD,Cahora
WaterCTransmission,WaterCTransmission
Nuclear,Nuclear
supply_waterB,inflow_KafueGorge
hydro0,VictoriaFalls
hydroA,ITT
hydro,Hydro
GasEngine,GasEngine
Biomass,Biomass
hydroC,Kariba
storageB,KafueGorge
Coal,Coal
supply_waterC,inflow_Kariba
OCGT,OCGT
ConversionPlus0,from water0 to hp0
demand_waterC,Water demand3
storageC,Kariba
supply_water0,inflow_VF
ElectricTransmission275kV,ElectricTransmission275kV
ElectricTransmission132kV,ElectricTransmission132kV
ElectricTransmission330kV,ElectricTransmission330kV
ConversionPlusC,from waterC to hpC
ElectricTransmission533kV,ElectricTransmission533kV
ElectricTransmission220kV,ElectricTransmission220kV
demand_power,Power demand
ElectricTransmission400kV,ElectricTransmission400kV
hydroD,Cahora
Wind,Wind
HFO,HFO
Coal_old,Coal_old
WaterDTransmission,WaterDTransmission
demand_waterB,Water demand2
spillageB,spillageKafueGorge
supply_waterD,inflow_Cahora
spillageA,spillageITT
DieselEngine,DieselEngine
PV,PV
spillageC,spillageKariba
hydroB,KafueGorge
spillageD,spillageKariba
demand_waterA,Water demand1
supply_waterA,inflow_ITT
