techs,colors
ConversionPlusB,#185b48
ConversionPlusA,#17344c
storageA,#FF02EF
storageD,#3B61E3
WaterCTransmission,#000572
Nuclear,#84008A
supply_waterB,#0287FF
hydro0,#1DFF97
hydroA,#1DFF97
hydro,#02FFD3
GasEngine,#E9A603
Biomass,#20FF30
hydroC,#118EC2
storageB,#FF02EF
Coal,#CCCCCC
supply_waterC,#0287FF
OCGT,#E84C4C
ConversionPlus0,#19122b
demand_waterC,#BD07FB
storageC,#FF02EF
supply_water0,#0287FF
ElectricTransmission275kV,#8465A9
ElectricTransmission132kV,#8465A9
ElectricTransmission330kV,#8465A9
ConversionPlusC,#3c7632
ElectricTransmission533kV,#8465A9
ElectricTransmission220kV,#8465A9
demand_power,#072486
ElectricTransmission400kV,#8465A9
hydroD,#003C72
Wind,#FF2020
HFO,#AF2D2D
Coal_old,#5E5E5E
WaterDTransmission,#000572
demand_waterB,#BD07FB
spillageB,#FFAE02
supply_waterD,#07FBF5
spillageA,#FFAE02
DieselEngine,#E33B78
PV,#F3F311
spillageC,#FFAE02
hydroB,#1D3EFF
spillageD,#FFAE02
demand_waterA,#BD07FB
supply_waterA,#0287FF
