techs,colors
ElectricTransmission400kV,#8465A9
Coal,#CCCCCC
ConversionPlusB,#185b48
spillageA,#7e7a36
Wind,#FF2020
demand_waterB,#BD07FB
hydroB,#1D3EFF
storageB,#FF02EF
supply_waterA,#0287FF
hydroC,#118EC2
hydro0,#1DFF97
HFO,#AF2D2D
hydroD,#003C72
WaterCTransmission,#000572
supply_waterC,#0287FF
demand_waterC,#BD07FB
ElectricTransmission330kV,#8465A9
GasEngine,#E9A603
ElectricTransmission132kV,#8465A9
WaterDTransmission,#000572
PV,#F3F311
demand_power,#072486
demand_waterA,#BD07FB
ElectricTransmission220kV,#8465A9
ConversionPlusC,#3c7632
Coal_old,#5E5E5E
supply_waterD,#07FBF5
hydroA,#1DFF97
ConversionPlusA,#17344c
storageD,#3B61E3
ConversionPlus0,#19122b
Nuclear,#84008A
DieselEngine,#E33B78
spillageD,#FFAE02
supply_waterB,#0287FF
ElectricTransmission533kV,#8465A9
hydro,#02FFD3
supply_water0,#0287FF
spillageC,#FFAE02
spillageB,#FFAE02
Biomass,#20FF30
ElectricTransmission275kV,#8465A9
OCGT,#E84C4C
storageC,#FF02EF
storageA,#FF02EF
