locs,techs,timesteps,storage_loss
Moz-North-Center,storageD,2005-01-04 07:00:00,0.005967061290911736
Moz-North-Center,storageD,2005-01-04 08:00:00,0.005966930027976614
Moz-North-Center,storageD,2005-01-04 09:00:00,0.0059667789664095494
Moz-North-Center,storageD,2005-01-04 10:00:00,0.005966630272157687
Moz-North-Center,storageD,2005-01-04 11:00:00,0.005966483151627121
Moz-North-Center,storageD,2005-01-04 12:00:00,0.005966336021108244
Moz-North-Center,storageD,2005-01-04 13:00:00,0.00596615962588945
Moz-North-Center,storageD,2005-01-04 14:00:00,0.00596597217454408
Moz-North-Center,storageD,2005-01-04 15:00:00,0.0059657740973054285
Moz-North-Center,storageD,2005-01-04 16:00:00,0.0059655867123922755
Moz-North-Center,storageD,2005-01-04 17:00:00,0.005965426247726758
Moz-North-Center,storageD,2005-01-04 18:00:00,0.0059652903128506966
Moz-North-Center,storageD,2005-01-04 19:00:00,0.005965172563675614
Moz-North-Center,storageD,2005-01-04 20:00:00,0.005965041374647631
Moz-North-Center,storageD,2005-01-04 21:00:00,0.005964854060353776
Moz-North-Center,storageD,2005-01-04 22:00:00,0.00596458348920025
Moz-North-Center,storageD,2005-01-04 23:00:00,0.005964307343621387
Moz-North-Center,storageD,2005-01-05 00:00:00,0.00596403681606021
Moz-North-Center,storageD,2005-01-05 01:00:00,0.0059637579184134105
Moz-North-Center,storageD,2005-01-05 02:00:00,0.005963487434643732
Moz-North-Center,storageD,2005-01-05 03:00:00,0.005963211938826557
Moz-North-Center,storageD,2005-01-05 04:00:00,0.005962933669640639
Moz-North-Center,storageD,2005-01-05 05:00:00,0.005962697176691786
Moz-North-Center,storageD,2005-01-05 06:00:00,0.005962521782214201
Moz-North-Center,storageD,2005-01-05 07:00:00,0.0059624000525037
Moz-North-Center,storageD,2005-01-05 08:00:00,0.005962268826025559
Moz-North-Center,storageD,2005-01-05 09:00:00,0.005962117857514819
Moz-North-Center,storageD,2005-01-05 10:00:00,0.005961969247111106
Moz-North-Center,storageD,2005-01-05 11:00:00,0.005961822203703724
Moz-North-Center,storageD,2005-01-05 12:00:00,0.005961675157680105
Moz-North-Center,storageD,2005-01-05 13:00:00,0.005961498927757751
Moz-North-Center,storageD,2005-01-05 14:00:00,0.0059613116745524134
Moz-North-Center,storageD,2005-01-05 15:00:00,0.005961113977913281
Moz-North-Center,storageD,2005-01-05 16:00:00,0.005960926775740226
Moz-North-Center,storageD,2005-01-05 17:00:00,0.005960766418345313
Moz-North-Center,storageD,2005-01-05 18:00:00,0.005960630525781768
Moz-North-Center,storageD,2005-01-05 19:00:00,0.005960512774025896
Moz-North-Center,storageD,2005-01-05 20:00:00,0.005960381615332954
Moz-North-Center,storageD,2005-01-05 21:00:00,0.00596019446921347
Moz-North-Center,storageD,2005-01-05 22:00:00,0.005959924262328465
Moz-North-Center,storageD,2005-01-05 23:00:00,0.005959648493792965
Moz-North-Center,storageD,2005-01-06 00:00:00,0.0059593783302064746
Moz-North-Center,storageD,2005-01-06 01:00:00,0.005959099815740639
Moz-North-Center,storageD,2005-01-06 02:00:00,0.005958829695642787
Moz-North-Center,storageD,2005-01-06 03:00:00,0.0059585545749530145
Moz-North-Center,storageD,2005-01-06 04:00:00,0.005958276687168926
Moz-North-Center,storageD,2005-01-06 05:00:00,0.005958040530443624
Moz-North-Center,storageD,2005-01-06 06:00:00,0.005957865273477375
Moz-North-Center,storageD,2005-01-06 07:00:00,0.0059577435475641535
Moz-North-Center,storageD,2005-01-06 08:00:00,0.005957612338721254
Moz-North-Center,storageD,2005-01-06 09:00:00,0.0059574614157375475
Moz-North-Center,storageD,2005-01-06 10:00:00,0.005957312833288207
Moz-North-Center,storageD,2005-01-06 11:00:00,0.0059571658145988905
Moz-North-Center,storageD,2005-01-06 12:00:00,0.005957018797324729
Moz-North-Center,storageD,2005-01-06 13:00:00,0.005956842674162208
Moz-North-Center,storageD,2005-01-06 14:00:00,0.0059566555577042594
Moz-North-Center,storageD,2005-01-06 15:00:00,0.005956458050958204
Moz-North-Center,storageD,2005-01-06 16:00:00,0.005956271009494335
Moz-North-Center,storageD,2005-01-06 17:00:00,0.00595611075041462
Moz-North-Center,storageD,2005-01-06 18:00:00,0.005955974896924518
Moz-North-Center,storageD,2005-01-06 19:00:00,0.00595585713946935
Moz-North-Center,storageD,2005-01-06 20:00:00,0.005955726007937159
Moz-North-Center,storageD,2005-01-06 21:00:00,0.005955539026762706
Moz-North-Center,storageD,2005-01-06 22:00:00,0.00595526918106134
Moz-North-Center,storageD,2005-01-06 23:00:00,0.005954993786296986
Moz-North-Center,storageD,2005-01-07 00:00:00,0.005954723983553203
Moz-North-Center,storageD,2005-01-07 01:00:00,0.005954445848896214
Moz-North-Center,storageD,2005-01-07 02:00:00,0.0059541760893077
Moz-North-Center,storageD,2005-01-07 03:00:00,0.0059539013404244865
Moz-North-Center,storageD,2005-01-07 04:00:00,0.005953623830628643
Moz-North-Center,storageD,2005-01-07 05:00:00,0.0059533880054178315
Moz-North-Center,storageD,2005-01-07 06:00:00,0.005953212879502097
Moz-North-Center,storageD,2005-01-07 07:00:00,0.0059530911471974745
Moz-North-Center,storageD,2005-01-07 08:00:00,0.0059529599564883216
Moz-North-Center,storageD,2005-01-07 09:00:00,0.005952809114563737
Moz-North-Center,storageD,2005-01-07 10:00:00,0.005952660625021086
Moz-North-Center,storageD,2005-01-07 11:00:00,0.0059525137059943285
Moz-North-Center,storageD,2005-01-07 12:00:00,0.005952366784127447
Moz-North-Center,storageD,2005-01-07 13:00:00,0.005952190819657159
Moz-North-Center,storageD,2005-01-07 14:00:00,0.005952003880942892
Moz-North-Center,storageD,2005-01-07 15:00:00,0.0059518066445649115
Moz-North-Center,storageD,2005-01-07 16:00:00,0.005951619761803523
Moz-North-Center,storageD,2005-01-07 17:00:00,0.0059514595970586465
Moz-North-Center,storageD,2005-01-07 18:00:00,0.0059513237782799645
Moz-North-Center,storageD,2005-01-07 19:00:00,0.00595120601055821
Moz-North-Center,storageD,2005-01-07 20:00:00,0.005951074901651758
Moz-North-Center,storageD,2005-01-07 21:00:00,0.005950888081034025
Moz-North-Center,storageD,2005-01-07 22:00:00,0.0059506185929274966
Moz-North-Center,storageD,2005-01-07 23:00:00,0.005950343568158436
Moz-North-Center,storageD,2005-01-08 00:00:00,0.005950119902534985
Moz-North-Center,storageD,2005-01-08 01:00:00,0.005949844013538454
Moz-North-Center,storageD,2005-01-08 02:00:00,0.0059495661263500995
Moz-North-Center,storageD,2005-01-08 03:00:00,0.005949304949611311
Moz-North-Center,storageD,2005-01-08 04:00:00,0.005949053182841434
Moz-North-Center,storageD,2005-01-08 05:00:00,0.0059488649336666725
Moz-North-Center,storageD,2005-01-08 06:00:00,0.00594870519233544
Moz-North-Center,storageD,2005-01-08 07:00:00,0.005948556842517472
Moz-North-Center,storageD,2005-01-08 08:00:00,0.0059484027781535566
Moz-North-Center,storageD,2005-01-08 09:00:00,0.005948232550982402
Moz-North-Center,storageD,2005-01-08 10:00:00,0.005948058519200011
Moz-North-Center,storageD,2005-01-08 11:00:00,0.005947901583832775
Moz-North-Center,storageD,2005-01-08 12:00:00,0.005947756045119819
Moz-North-Center,storageD,2005-01-08 13:00:00,0.005947593415861856
Moz-North-Center,storageD,2005-01-08 14:00:00,0.005947414655437751
Moz-North-Center,storageD,2005-01-08 15:00:00,0.005947230215192739
Moz-North-Center,storageD,2005-01-08 16:00:00,0.0059470533927427965
Moz-North-Center,storageD,2005-01-08 17:00:00,0.005946887984089065
Moz-North-Center,storageD,2005-01-08 18:00:00,0.005946753912328418
Moz-North-Center,storageD,2005-01-08 19:00:00,0.005946658756590263
Moz-North-Center,storageD,2005-01-08 20:00:00,0.005946541769266689
Moz-North-Center,storageD,2005-01-08 21:00:00,0.005946386819418265
Moz-North-Center,storageD,2005-01-08 22:00:00,0.005946205301319096
Moz-North-Center,storageD,2005-01-08 23:00:00,0.0059459912821417495
Moz-North-Center,storageD,2005-01-09 00:00:00,0.005945767899545937
Moz-North-Center,storageD,2005-01-09 01:00:00,0.0059454923524194575
Moz-North-Center,storageD,2005-01-09 02:00:00,0.005945214811025903
Moz-North-Center,storageD,2005-01-09 03:00:00,0.005944953986990793
Moz-North-Center,storageD,2005-01-09 04:00:00,0.00594470255508405
Moz-North-Center,storageD,2005-01-09 05:00:00,0.005944514452488419
Moz-North-Center,storageD,2005-01-09 06:00:00,0.005944354786661641
Moz-North-Center,storageD,2005-01-09 07:00:00,0.005944206477103908
Moz-North-Center,storageD,2005-01-09 08:00:00,0.005944052460794196
Moz-North-Center,storageD,2005-01-09 09:00:00,0.005943882321209275
Moz-North-Center,storageD,2005-01-09 10:00:00,0.0059437083862498965
Moz-North-Center,storageD,2005-01-09 11:00:00,0.0059435515076696095
Moz-North-Center,storageD,2005-01-09 12:00:00,0.005943405994224309
Moz-North-Center,storageD,2005-01-09 13:00:00,0.005943243428729809
Moz-North-Center,storageD,2005-01-09 14:00:00,0.005943064771155262
Moz-North-Center,storageD,2005-01-09 15:00:00,0.00594288045035786
Moz-North-Center,storageD,2005-01-09 16:00:00,0.005942703733676428
Moz-North-Center,storageD,2005-01-09 17:00:00,0.0059425384106317385
Moz-North-Center,storageD,2005-01-09 18:00:00,0.0059424043557919646
Moz-North-Center,storageD,2005-01-09 19:00:00,0.005942309125990119
Moz-North-Center,storageD,2005-01-09 20:00:00,0.005942192115217667
Moz-North-Center,storageD,2005-01-09 21:00:00,0.00594203723022773
Moz-North-Center,storageD,2005-01-09 22:00:00,0.0059418558387408825
Moz-North-Center,storageD,2005-01-09 23:00:00,0.005941642079181339
Moz-North-Center,storageD,2005-01-10 00:00:00,0.005941370297719571
Moz-North-Center,storageD,2005-01-10 01:00:00,0.005941132420324746
Moz-North-Center,storageD,2005-01-10 02:00:00,0.005940860678441948
Moz-North-Center,storageD,2005-01-10 03:00:00,0.005940583904643261
Moz-North-Center,storageD,2005-01-10 04:00:00,0.0059403382510676865
Moz-North-Center,storageD,2005-01-10 05:00:00,0.005940142194554755
Moz-North-Center,storageD,2005-01-10 06:00:00,0.0059399722602883785
Moz-North-Center,storageD,2005-01-10 07:00:00,0.0059398561331716225
Moz-North-Center,storageD,2005-01-10 08:00:00,0.005939730477969157
Moz-North-Center,storageD,2005-01-10 09:00:00,0.005939585013377061
Moz-North-Center,storageD,2005-01-10 10:00:00,0.00593944190922524
Moz-North-Center,storageD,2005-01-10 11:00:00,0.005939300383393895
Moz-North-Center,storageD,2005-01-10 12:00:00,0.005939158856315432
Moz-North-Center,storageD,2005-01-10 13:00:00,0.005938988057512711
Moz-North-Center,storageD,2005-01-10 14:00:00,0.005938806198868751
Moz-North-Center,storageD,2005-01-10 15:00:00,0.005938614079722126
Moz-North-Center,storageD,2005-01-10 16:00:00,0.005938432281826989
Moz-North-Center,storageD,2005-01-10 17:00:00,0.005938277407121962
Moz-North-Center,storageD,2005-01-10 18:00:00,0.005938147064436206
Moz-North-Center,storageD,2005-01-10 19:00:00,0.005938034910716648
Moz-North-Center,storageD,2005-01-10 20:00:00,0.005937909311514265
Moz-North-Center,storageD,2005-01-10 21:00:00,0.0059377275692961105
Moz-North-Center,storageD,2005-01-10 22:00:00,0.005937456078583636
Moz-North-Center,storageD,2005-01-10 23:00:00,0.005937179372941598
Moz-North-Center,storageD,2005-01-11 00:00:00,0.005936907924461689
Moz-North-Center,storageD,2005-01-11 01:00:00,0.005936670350973101
Moz-North-Center,storageD,2005-01-11 02:00:00,0.005936398941377758
Moz-North-Center,storageD,2005-01-11 03:00:00,0.005936122509664582
Moz-North-Center,storageD,2005-01-11 04:00:00,0.00593587717428716
Moz-North-Center,storageD,2005-01-11 05:00:00,0.005935681272855157
Moz-North-Center,storageD,2005-01-11 06:00:00,0.005935511436748391
Moz-North-Center,storageD,2005-01-11 07:00:00,0.005935395291345321
Moz-North-Center,storageD,2005-01-11 08:00:00,0.005935269651859461
Moz-North-Center,storageD,2005-01-11 09:00:00,0.00593512425398218
Moz-North-Center,storageD,2005-01-11 10:00:00,0.005934981206601625
Moz-North-Center,storageD,2005-01-11 11:00:00,0.005934839715470491
Moz-North-Center,storageD,2005-01-11 12:00:00,0.00593469821095273
Moz-North-Center,storageD,2005-01-11 13:00:00,0.005934527512838537
Moz-North-Center,storageD,2005-01-11 14:00:00,0.0059343457794872176
Moz-North-Center,storageD,2005-01-11 15:00:00,0.0059341538082968185
Moz-North-Center,storageD,2005-01-11 16:00:00,0.005933972127384145
Moz-North-Center,storageD,2005-01-11 17:00:00,0.00593381730116985
Moz-North-Center,storageD,2005-01-11 18:00:00,0.005933686947336214
Moz-North-Center,storageD,2005-01-11 19:00:00,0.0059335747375170505
Moz-North-Center,storageD,2005-01-11 20:00:00,0.00593344911446912
Moz-North-Center,storageD,2005-01-11 21:00:00,0.005933267485025352
Moz-North-Center,storageD,2005-01-11 22:00:00,0.0059329963192662726
Moz-North-Center,storageD,2005-01-11 23:00:00,0.005932719986092521
Moz-North-Center,storageD,2005-01-12 00:00:00,0.005932448861630753
Moz-North-Center,storageD,2005-01-12 01:00:00,0.005932211581408794
Moz-North-Center,storageD,2005-01-12 02:00:00,0.0059319404948926045
Moz-North-Center,storageD,2005-01-12 03:00:00,0.005931664395479764
Moz-North-Center,storageD,2005-01-12 04:00:00,0.005931419367095845
Moz-North-Center,storageD,2005-01-12 05:00:00,0.005931223608510869
Moz-North-Center,storageD,2005-01-12 06:00:00,0.005931053843306671
Moz-North-Center,storageD,2005-01-12 07:00:00,0.005930937619837001
Moz-North-Center,storageD,2005-01-12 08:00:00,0.005930811907050086
Moz-North-Center,storageD,2005-01-12 09:00:00,0.00593066647098837
Moz-North-Center,storageD,2005-01-12 10:00:00,0.005930523379416719
Moz-North-Center,storageD,2005-01-12 11:00:00,0.005930381852736292
Moz-North-Center,storageD,2005-01-12 12:00:00,0.005930240328313307
Moz-North-Center,storageD,2005-01-12 13:00:00,0.005930069684207275
Moz-North-Center,storageD,2005-01-12 14:00:00,0.0059298880439924
Moz-North-Center,storageD,2005-01-12 15:00:00,0.005929696210320972
Moz-North-Center,storageD,2005-01-12 16:00:00,0.005929514641255847
Moz-North-Center,storageD,2005-01-12 17:00:00,0.0059293598538602745
Moz-North-Center,storageD,2005-01-12 18:00:00,0.005929229471759163
Moz-North-Center,storageD,2005-01-12 19:00:00,0.005929117187699797
Moz-North-Center,storageD,2005-01-12 20:00:00,0.005928991522762657
Moz-North-Center,storageD,2005-01-12 21:00:00,0.00592880998970685
Moz-North-Center,storageD,2005-01-12 22:00:00,0.0059285391363738706
Moz-North-Center,storageD,2005-01-12 23:00:00,0.005928263162077193
Moz-North-Center,storageD,2005-01-13 00:00:00,0.005927992348686716
Moz-North-Center,storageD,2005-01-13 01:00:00,0.0059277553463526105
Moz-North-Center,storageD,2005-01-13 02:00:00,0.005927484569500796
Moz-North-Center,storageD,2005-01-13 03:00:00,0.0059272087880384025
Moz-North-Center,storageD,2005-01-13 04:00:00,0.005926964051202646
Moz-North-Center,storageD,2005-01-13 05:00:00,0.0059267684174042
Moz-North-Center,storageD,2005-01-13 06:00:00,0.005926598717794367
Moz-North-Center,storageD,2005-01-13 07:00:00,0.005926482441540207
