techs,inheritance
hydroB,conversion
supply_waterC,supply
supply_waterD,supply
hydro0,conversion
ElectricTransmission132kV,transmission
GasEngine,supply
demand_power,demand
spillageC,conversion
PV,supply_plus
Wind,supply_plus
supply_water0,supply
storageD,storage
ConversionPlus0,conversion_plus
ElectricTransmission220kV,transmission
supply_waterA,supply
WaterDTransmission,transmission
storageC,storage
storageB,storage
hydro,supply
ElectricTransmission275kV,transmission
ConversionPlusC,conversion_plus
demand_waterB,demand
hydroD,conversion
ElectricTransmission330kV,transmission
supply_waterB,supply
DieselEngine,supply
hydroC,conversion
storageA,storage
spillageD,conversion
hydroA,conversion
spillageB,conversion
ConversionPlusA,conversion_plus
Coal_old,supply
ElectricTransmission400kV,transmission
WaterCTransmission,transmission
Nuclear,supply
ElectricTransmission533kV,transmission
Coal,supply
demand_waterA,demand
demand_waterC,demand
HFO,supply
Biomass,supply
ConversionPlusB,conversion_plus
spillageA,conversion
OCGT,supply
