techs,inheritance
hydro,supply
spillageC,conversion
demand_waterB,demand
supply_waterC,supply
demand_power,demand
GasEngine,supply
WaterCTransmission,transmission
ElectricTransmission132kV,transmission
demand_waterA,demand
spillageA,conversion
ConversionPlus0,conversion_plus
hydro0,conversion
spillageD,conversion
supply_water0,supply
ConversionPlusA,conversion_plus
supply_waterD,supply
hydroD,conversion
ElectricTransmission533kV,transmission
supply_waterB,supply
ElectricTransmission220kV,transmission
ConversionPlusB,conversion_plus
Nuclear,supply
ElectricTransmission275kV,transmission
OCGT,supply
hydroB,conversion
DieselEngine,supply
storageB,storage
Coal,supply
ElectricTransmission330kV,transmission
Coal_old,supply
storageA,storage
spillageB,conversion
storageC,storage
ConversionPlusC,conversion_plus
storageD,storage
Biomass,supply
hydroC,conversion
Wind,supply_plus
supply_waterA,supply
demand_waterC,demand
HFO,supply
ElectricTransmission400kV,transmission
hydroA,conversion
WaterDTransmission,transmission
PV,supply_plus
