techs,inheritance
demand_waterA,demand
ConversionPlusB,conversion_plus
ElectricTransmission400kV,transmission
DieselEngine,supply
hydroD,conversion
Nuclear,supply
storageC,storage
storageA,storage
Wind,supply_plus
WaterDTransmission,transmission
hydro0,conversion
demand_waterB,demand
spillageB,conversion
GasEngine,supply
ElectricTransmission330kV,transmission
ConversionPlusC,conversion_plus
OCGT,supply
demand_waterC,demand
demand_power,demand
Coal,supply
hydroB,conversion
hydroA,conversion
hydroC,conversion
storageD,storage
Coal_old,supply
ConversionPlus0,conversion_plus
supply_waterD,supply
WaterCTransmission,transmission
Biomass,supply
PV,supply_plus
spillageD,conversion
supply_water0,supply
spillageC,conversion
supply_waterA,supply
hydro,supply
ElectricTransmission220kV,transmission
spillageA,conversion
ElectricTransmission132kV,transmission
ElectricTransmission275kV,transmission
supply_waterB,supply
ConversionPlusA,conversion_plus
ElectricTransmission533kV,transmission
storageB,storage
supply_waterC,supply
HFO,supply
