techs,colors
demand_waterA,#BD07FB
ConversionPlusB,#185b48
ElectricTransmission400kV,#8465A9
DieselEngine,#E33B78
hydroD,#003C72
Nuclear,#84008A
storageC,#FF02EF
storageA,#FF02EF
Wind,#FF2020
WaterDTransmission,#000572
hydro0,#1DFF97
demand_waterB,#BD07FB
spillageB,#FFAE02
GasEngine,#E9A603
ElectricTransmission330kV,#8465A9
ConversionPlusC,#3c7632
OCGT,#E84C4C
demand_waterC,#BD07FB
demand_power,#072486
Coal,#CCCCCC
hydroB,#1D3EFF
hydroA,#1DFF97
hydroC,#118EC2
storageD,#3B61E3
Coal_old,#5E5E5E
ConversionPlus0,#19122b
supply_waterD,#07FBF5
WaterCTransmission,#000572
Biomass,#20FF30
PV,#F3F311
spillageD,#FFAE02
supply_water0,#0287FF
spillageC,#FFAE02
supply_waterA,#0287FF
hydro,#02FFD3
ElectricTransmission220kV,#8465A9
spillageA,#7e7a36
ElectricTransmission132kV,#8465A9
ElectricTransmission275kV,#8465A9
supply_waterB,#0287FF
ConversionPlusA,#17344c
ElectricTransmission533kV,#8465A9
storageB,#FF02EF
supply_waterC,#0287FF
HFO,#AF2D2D
