techs,colors
hydro,#02FFD3
spillageC,#FFAE02
demand_waterB,#BD07FB
supply_waterC,#0287FF
demand_power,#072486
GasEngine,#E9A603
WaterCTransmission,#000572
ElectricTransmission132kV,#8465A9
demand_waterA,#BD07FB
spillageA,#7e7a36
ConversionPlus0,#19122b
hydro0,#1DFF97
spillageD,#FFAE02
supply_water0,#0287FF
ConversionPlusA,#17344c
supply_waterD,#07FBF5
hydroD,#003C72
ElectricTransmission533kV,#8465A9
supply_waterB,#0287FF
ElectricTransmission220kV,#8465A9
ConversionPlusB,#185b48
Nuclear,#84008A
ElectricTransmission275kV,#8465A9
OCGT,#E84C4C
hydroB,#1D3EFF
DieselEngine,#E33B78
storageB,#FF02EF
Coal,#CCCCCC
ElectricTransmission330kV,#8465A9
Coal_old,#5E5E5E
storageA,#FF02EF
spillageB,#FFAE02
storageC,#FF02EF
ConversionPlusC,#3c7632
storageD,#3B61E3
Biomass,#20FF30
hydroC,#118EC2
Wind,#FF2020
supply_waterA,#0287FF
demand_waterC,#BD07FB
HFO,#AF2D2D
ElectricTransmission400kV,#8465A9
hydroA,#1DFF97
WaterDTransmission,#000572
PV,#F3F311
