carriers,costs,total_levelised_cost
waterE,monetary,inf
waterB,monetary,1.429700559553579
waterA,monetary,1.7516792819142408
waterC,monetary,0.49002916553393616
water_to_hpC,monetary,0.4900291655339202
power,monetary,0.05822819507294841
waterD,monetary,0.29707280482594656
water_to_hpB,monetary,2.04415992687641
water_to_hpA,monetary,1.8932834363598248
