carriers,costs,total_levelised_cost
water_to_hpB,monetary,2.0458982819430083
water_to_hpA,monetary,1.8995518531088735
waterB,monetary,1.4318925293031672
water_to_hpC,monetary,0.4900291655097921
power,monetary,0.05822819506742964
waterA,monetary,1.7516792818279998
waterE,monetary,inf
waterC,monetary,0.4900291655098104
waterD,monetary,0.2964711465551877
