techs,inheritance
ElectricTransmission400kV,transmission
Coal,supply
ConversionPlusB,conversion_plus
spillageA,conversion
Wind,supply_plus
demand_waterB,demand
hydroB,conversion
storageB,storage
supply_waterA,supply
hydroC,conversion
hydro0,conversion
HFO,supply
hydroD,conversion
WaterCTransmission,transmission
supply_waterC,supply
demand_waterC,demand
ElectricTransmission330kV,transmission
GasEngine,supply
ElectricTransmission132kV,transmission
WaterDTransmission,transmission
PV,supply_plus
demand_power,demand
demand_waterA,demand
ElectricTransmission220kV,transmission
ConversionPlusC,conversion_plus
Coal_old,supply
supply_waterD,supply
hydroA,conversion
ConversionPlusA,conversion_plus
storageD,storage
ConversionPlus0,conversion_plus
Nuclear,supply
DieselEngine,supply
spillageD,conversion
supply_waterB,supply
ElectricTransmission533kV,transmission
hydro,supply
supply_water0,supply
spillageC,conversion
spillageB,conversion
Biomass,supply
ElectricTransmission275kV,transmission
OCGT,supply
storageC,storage
storageA,storage
