techs,names
hydro,Hydro
storageB,KafueGorge
hydroD,Cahora
storageA,ITT
storageD,Cahora
supply_waterB,inflow_KafueGorge
ConversionPlusC,from waterC to hpC
OCGT,OCGT
Coal_old,Coal_old
demand_power,Power demand
demand_waterC,Water demand3
HFO,HFO
spillageD,spillageKariba
hydroC,Kariba
ConversionPlus0,from water0 to hp0
ElectricTransmission132kV,ElectricTransmission132kV
supply_waterA,inflow_ITT
WaterCTransmission,WaterCTransmission
ElectricTransmission220kV,ElectricTransmission220kV
spillageC,spillageKariba
supply_waterC,inflow_Kariba
Coal,Coal
demand_waterB,Water demand2
Wind,Wind
supply_waterD,inflow_Cahora
ElectricTransmission330kV,ElectricTransmission330kV
hydroA,ITT
ConversionPlusA,from waterA to hpA
DieselEngine,DieselEngine
ElectricTransmission400kV,ElectricTransmission400kV
WaterDTransmission,WaterDTransmission
hydro0,VictoriaFalls
ElectricTransmission533kV,ElectricTransmission533kV
Biomass,Biomass
ConversionPlusB,from waterB to hpB
GasEngine,GasEngine
supply_water0,inflow_VF
spillageB,spillageKafueGorge
hydroB,KafueGorge
storageC,Kariba
demand_waterA,Water demand1
PV,PV
Nuclear,Nuclear
spillageA,spillageITT
ElectricTransmission275kV,ElectricTransmission275kV
